Datum,Weekday,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,id,Warengruppe,Umsatz,KielerWoche,Weather_Category,Weather_Category_Wind_Adjusted,Wind_Downgrade_Count
2014-07-16,Wednesday,6.0,19.41,7,,1407163.0,Croissant,293.55,,Unknown,Unknown,0
2014-07-16,Wednesday,6.0,19.41,7,,1407164.0,Konditorei,75.71,,Unknown,Unknown,0
2014-07-16,Wednesday,6.0,19.41,7,,1407165.0,Kuchen,323.63,,Unknown,Unknown,0
2014-07-17,Thursday,4.0,22.76,7,,1407171.0,Brot,160.52,,Unknown,Unknown,0
2014-07-17,Thursday,4.0,22.76,7,,1407172.0,Brötchen,601.55,,Unknown,Unknown,0
2014-07-17,Thursday,4.0,22.76,7,,1407173.0,Croissant,279.76,,Unknown,Unknown,0
2014-07-17,Thursday,4.0,22.76,7,,1407174.0,Konditorei,44.58,,Unknown,Unknown,0
2014-07-17,Thursday,4.0,22.76,7,,1407175.0,Kuchen,290.37,,Unknown,Unknown,0
2014-07-18,Friday,1.0,26.05,10,,1407181.0,Brot,119.81,,Unknown,Unknown,0
2014-07-18,Friday,1.0,26.05,10,,1407182.0,Brötchen,611.76,,Unknown,Unknown,0
2014-07-18,Friday,1.0,26.05,10,,1407183.0,Croissant,320.69,,Unknown,Unknown,0
2014-07-18,Friday,1.0,26.05,10,,1407184.0,Konditorei,65.18,,Unknown,Unknown,0
2014-07-18,Friday,1.0,26.05,10,,1407185.0,Kuchen,279.61,,Unknown,Unknown,0
2014-07-19,Saturday,0.0,28.06,13,,1407191.0,Brot,144.79,,Unknown,Unknown,0
2014-07-19,Saturday,0.0,28.06,13,,1407192.0,Brötchen,758.01,,Unknown,Unknown,0
2014-07-19,Saturday,0.0,28.06,13,,1407193.0,Croissant,366.46,,Unknown,Unknown,0
2014-07-19,Saturday,0.0,28.06,13,,1407194.0,Konditorei,63.94,,Unknown,Unknown,0
2014-07-19,Saturday,0.0,28.06,13,,1407195.0,Kuchen,305.41,,Unknown,Unknown,0
2014-07-20,Sunday,3.0,24.31,15,,1407201.0,Brot,111.99,,Unknown,Unknown,0
2014-07-20,Sunday,3.0,24.31,15,,1407202.0,Brötchen,780.88,,Unknown,Unknown,0
2014-07-20,Sunday,3.0,24.31,15,,1407203.0,Croissant,339.9,,Unknown,Unknown,0
2014-07-20,Sunday,3.0,24.31,15,,1407204.0,Konditorei,113.34,,Unknown,Unknown,0
2014-07-20,Sunday,3.0,24.31,15,,1407205.0,Kuchen,365.53,,Unknown,Unknown,0
2014-07-21,Monday,0.0,23.49,19,5.0,1407211.0,Brot,137.7,,Extreme Weather,Extreme Weather,0
2014-07-21,Monday,0.0,23.49,19,5.0,1407212.0,Brötchen,603.86,,Extreme Weather,Extreme Weather,0
2014-07-21,Monday,0.0,23.49,19,5.0,1407213.0,Croissant,229.04,,Extreme Weather,Extreme Weather,0
2014-07-21,Monday,0.0,23.49,19,5.0,1407214.0,Konditorei,74.32,,Extreme Weather,Extreme Weather,0
2014-07-21,Monday,0.0,23.49,19,5.0,1407215.0,Kuchen,384.72,,Extreme Weather,Extreme Weather,0
2014-07-22,Tuesday,0.0,24.99,14,,1407221.0,Brot,152.13,,Unknown,Unknown,0
2014-07-22,Tuesday,0.0,24.99,14,,1407222.0,Brötchen,613.03,,Unknown,Unknown,0
2014-07-22,Tuesday,0.0,24.99,14,,1407223.0,Croissant,242.55,,Unknown,Unknown,0
2014-07-22,Tuesday,0.0,24.99,14,,1407224.0,Konditorei,64.34,,Unknown,Unknown,0
2014-07-22,Tuesday,0.0,24.99,14,,1407225.0,Kuchen,288.49,,Unknown,Unknown,0
2014-07-23,Wednesday,0.0,25.0,14,,1407231.0,Brot,144.39,,Unknown,Unknown,0
2014-07-23,Wednesday,0.0,25.0,14,,1407232.0,Brötchen,588.6,,Unknown,Unknown,0
2014-07-23,Wednesday,0.0,25.0,14,,1407233.0,Croissant,287.63,,Unknown,Unknown,0
2014-07-23,Wednesday,0.0,25.0,14,,1407234.0,Konditorei,62.01,,Unknown,Unknown,0
2014-07-23,Wednesday,0.0,25.0,14,,1407235.0,Kuchen,299.98,,Unknown,Unknown,0
2014-07-24,Thursday,0.0,24.84,11,,1407241.0,Brot,163.31,,Unknown,Unknown,0
2014-07-24,Thursday,0.0,24.84,11,,1407242.0,Brötchen,571.88,,Unknown,Unknown,0
2014-07-24,Thursday,0.0,24.84,11,,1407243.0,Croissant,299.29,,Unknown,Unknown,0
2014-07-24,Thursday,0.0,24.84,11,,1407244.0,Konditorei,55.58,,Unknown,Unknown,0
2014-07-24,Thursday,0.0,24.84,11,,1407245.0,Kuchen,285.81,,Unknown,Unknown,0
2014-07-25,Friday,0.0,26.32,18,,1407251.0,Brot,145.13,,Unknown,Unknown,0
2014-07-25,Friday,0.0,26.32,18,,1407252.0,Brötchen,570.63,,Unknown,Unknown,0
2014-07-25,Friday,0.0,26.32,18,,1407253.0,Croissant,272.24,,Unknown,Unknown,0
2014-07-25,Friday,0.0,26.32,18,,1407254.0,Konditorei,72.47,,Unknown,Unknown,0
2014-07-25,Friday,0.0,26.32,18,,1407255.0,Kuchen,310.38,,Unknown,Unknown,0
2014-07-26,Saturday,6.0,22.38,10,21.0,1407261.0,Brot,171.32,,Rain,Rain,0
2014-07-26,Saturday,6.0,22.38,10,21.0,1407262.0,Brötchen,685.5,,Rain,Rain,0
2014-07-26,Saturday,6.0,22.38,10,21.0,1407263.0,Croissant,325.58,,Rain,Rain,0
2014-07-26,Saturday,6.0,22.38,10,21.0,1407264.0,Konditorei,54.48,,Rain,Rain,0
2014-07-26,Saturday,6.0,22.38,10,21.0,1407265.0,Kuchen,318.19,,Rain,Rain,0
2014-07-27,Sunday,3.0,25.55,12,21.0,1407271.0,Brot,90.18,,Rain,Rain,0
2014-07-27,Sunday,3.0,25.55,12,21.0,1407272.0,Brötchen,782.18,,Rain,Rain,0
2014-07-27,Sunday,3.0,25.55,12,21.0,1407273.0,Croissant,336.7,,Rain,Rain,0
2014-07-27,Sunday,3.0,25.55,12,21.0,1407274.0,Konditorei,130.34,,Rain,Rain,0
2014-07-27,Sunday,3.0,25.55,12,21.0,1407275.0,Kuchen,360.07,,Rain,Rain,0
2014-07-28,Monday,0.0,24.76,7,,1407281.0,Brot,157.81,,Unknown,Unknown,0
2014-07-28,Monday,0.0,24.76,7,,1407282.0,Brötchen,630.17,,Unknown,Unknown,0
2014-07-28,Monday,0.0,24.76,7,,1407283.0,Croissant,288.5,,Unknown,Unknown,0
2014-07-28,Monday,0.0,24.76,7,,1407284.0,Konditorei,68.34,,Unknown,Unknown,0
2014-07-28,Monday,0.0,24.76,7,,1407285.0,Kuchen,309.22,,Unknown,Unknown,0
2014-07-29,Tuesday,0.0,25.35,10,,1407291.0,Brot,144.46,,Unknown,Unknown,0
2014-07-29,Tuesday,0.0,25.35,10,,1407292.0,Brötchen,613.21,,Unknown,Unknown,0
2014-07-29,Tuesday,0.0,25.35,10,,1407293.0,Croissant,287.89,,Unknown,Unknown,0
2014-07-29,Tuesday,0.0,25.35,10,,1407294.0,Konditorei,89.74,,Unknown,Unknown,0
2014-07-29,Tuesday,0.0,25.35,10,,1407295.0,Kuchen,324.43,,Unknown,Unknown,0
2014-07-30,Wednesday,6.0,22.92,12,,1407301.0,Brot,137.87,,Unknown,Unknown,0
2014-07-30,Wednesday,6.0,22.92,12,,1407302.0,Brötchen,621.01,,Unknown,Unknown,0
2014-07-30,Wednesday,6.0,22.92,12,,1407303.0,Croissant,322.88,,Unknown,Unknown,0
2014-07-30,Wednesday,6.0,22.92,12,,1407305.0,Kuchen,315.98,,Unknown,Unknown,0
2014-07-31,Thursday,3.0,22.44,12,21.0,1407311.0,Brot,174.33,,Rain,Rain,0
2014-07-31,Thursday,3.0,22.44,12,21.0,1407312.0,Brötchen,600.5,,Rain,Rain,0
2014-07-31,Thursday,3.0,22.44,12,21.0,1407313.0,Croissant,309.08,,Rain,Rain,0
2014-07-31,Thursday,3.0,22.44,12,21.0,1407315.0,Kuchen,342.68,,Rain,Rain,0
2014-08-01,Friday,1.0,26.72,8,,1408011.0,Brot,153.97,,Unknown,Unknown,0
2014-08-01,Friday,1.0,26.72,8,,1408012.0,Brötchen,607.95,,Unknown,Unknown,0
2014-08-01,Friday,1.0,26.72,8,,1408013.0,Croissant,319.5,,Unknown,Unknown,0
2014-08-01,Friday,1.0,26.72,8,,1408014.0,Konditorei,55.49,,Unknown,Unknown,0
2014-08-01,Friday,1.0,26.72,8,,1408015.0,Kuchen,338.08,,Unknown,Unknown,0
2014-08-02,Saturday,2.0,26.09,12,,1408021.0,Brot,189.44,,Unknown,Unknown,0
2014-08-02,Saturday,2.0,26.09,12,,1408022.0,Brötchen,792.65,,Unknown,Unknown,0
2014-08-02,Saturday,2.0,26.09,12,,1408023.0,Croissant,371.32,,Unknown,Unknown,0
2014-08-02,Saturday,2.0,26.09,12,,1408024.0,Konditorei,71.24,,Unknown,Unknown,0
2014-08-02,Saturday,2.0,26.09,12,,1408025.0,Kuchen,366.86,,Unknown,Unknown,0
2014-08-03,Sunday,5.0,23.09,9,63.0,1408031.0,Brot,75.38,,Rain,Rain,0
2014-08-03,Sunday,5.0,23.09,9,63.0,1408032.0,Brötchen,771.25,,Rain,Rain,0
2014-08-03,Sunday,5.0,23.09,9,63.0,1408033.0,Croissant,343.44,,Rain,Rain,0
2014-08-03,Sunday,5.0,23.09,9,63.0,1408034.0,Konditorei,100.96,,Rain,Rain,0
2014-08-03,Sunday,5.0,23.09,9,63.0,1408035.0,Kuchen,290.01,,Rain,Rain,0
2014-08-04,Monday,6.0,22.51,8,,1408041.0,Brot,190.63,,Unknown,Unknown,0
2014-08-04,Monday,6.0,22.51,8,,1408042.0,Brötchen,698.07,,Unknown,Unknown,0
2014-08-04,Monday,6.0,22.51,8,,1408043.0,Croissant,297.37,,Unknown,Unknown,0
2014-08-04,Monday,6.0,22.51,8,,1408044.0,Konditorei,79.89,,Unknown,Unknown,0
2014-08-04,Monday,6.0,22.51,8,,1408045.0,Kuchen,316.78,,Unknown,Unknown,0
2014-08-05,Tuesday,5.0,23.09,10,,1408051.0,Brot,158.48,,Unknown,Unknown,0
2014-08-05,Tuesday,5.0,23.09,10,,1408052.0,Brötchen,686.65,,Unknown,Unknown,0
2014-08-05,Tuesday,5.0,23.09,10,,1408053.0,Croissant,368.18,,Unknown,Unknown,0
2014-08-05,Tuesday,5.0,23.09,10,,1408055.0,Kuchen,309.37,,Unknown,Unknown,0
2014-08-06,Wednesday,0.0,22.82,10,,1408061.0,Brot,140.0,,Unknown,Unknown,0
2014-08-06,Wednesday,0.0,22.82,10,,1408062.0,Brötchen,716.48,,Unknown,Unknown,0
2014-08-06,Wednesday,0.0,22.82,10,,1408063.0,Croissant,445.6,,Unknown,Unknown,0
2014-08-06,Wednesday,0.0,22.82,10,,1408064.0,Konditorei,97.11,,Unknown,Unknown,0
2014-08-06,Wednesday,0.0,22.82,10,,1408065.0,Kuchen,319.57,,Unknown,Unknown,0
2014-08-07,Thursday,7.0,20.31,6,61.0,1408071.0,Brot,172.49,,Rain,Rain,0
2014-08-07,Thursday,7.0,20.31,6,61.0,1408072.0,Brötchen,716.11,,Rain,Rain,0
2014-08-07,Thursday,7.0,20.31,6,61.0,1408073.0,Croissant,369.46,,Rain,Rain,0
2014-08-07,Thursday,7.0,20.31,6,61.0,1408074.0,Konditorei,47.32,,Rain,Rain,0
2014-08-07,Thursday,7.0,20.31,6,61.0,1408075.0,Kuchen,368.69,,Rain,Rain,0
2014-08-08,Friday,3.0,22.72,8,,1408081.0,Brot,194.23,,Unknown,Unknown,0
2014-08-08,Friday,3.0,22.72,8,,1408082.0,Brötchen,758.99,,Unknown,Unknown,0
2014-08-08,Friday,3.0,22.72,8,,1408083.0,Croissant,403.37,,Unknown,Unknown,0
2014-08-08,Friday,3.0,22.72,8,,1408085.0,Kuchen,381.21,,Unknown,Unknown,0
2014-08-09,Saturday,6.0,20.1,17,61.0,1408091.0,Brot,216.79,,Rain,Rain,0
2014-08-09,Saturday,6.0,20.1,17,61.0,1408092.0,Brötchen,874.91,,Rain,Rain,0
2014-08-09,Saturday,6.0,20.1,17,61.0,1408093.0,Croissant,421.55,,Rain,Rain,0
2014-08-09,Saturday,6.0,20.1,17,61.0,1408095.0,Kuchen,445.03,,Rain,Rain,0
2014-08-10,Sunday,6.0,23.1,12,,1408101.0,Brot,98.59,,Unknown,Unknown,0
2014-08-10,Sunday,6.0,23.1,12,,1408102.0,Brötchen,745.26,,Unknown,Unknown,0
2014-08-10,Sunday,6.0,23.1,12,,1408103.0,Croissant,361.16,,Unknown,Unknown,0
2014-08-10,Sunday,6.0,23.1,12,,1408104.0,Konditorei,151.09,,Unknown,Unknown,0
2014-08-10,Sunday,6.0,23.1,12,,1408105.0,Kuchen,381.08,,Unknown,Unknown,0
2014-08-11,Monday,4.0,20.08,13,21.0,1408111.0,Brot,186.84,,Rain,Rain,0
2014-08-11,Monday,4.0,20.08,13,21.0,1408112.0,Brötchen,653.87,,Rain,Rain,0
2014-08-11,Monday,4.0,20.08,13,21.0,1408113.0,Croissant,333.67,,Rain,Rain,0
2014-08-11,Monday,4.0,20.08,13,21.0,1408114.0,Konditorei,91.2,,Rain,Rain,0
2014-08-11,Monday,4.0,20.08,13,21.0,1408115.0,Kuchen,330.32,,Rain,Rain,0
2014-08-12,Tuesday,5.0,16.91,12,95.0,1408121.0,Brot,155.63,,Unknown,Unknown,0
2014-08-12,Tuesday,5.0,16.91,12,95.0,1408122.0,Brötchen,664.24,,Unknown,Unknown,0
2014-08-12,Tuesday,5.0,16.91,12,95.0,1408123.0,Croissant,358.73,,Unknown,Unknown,0
2014-08-12,Tuesday,5.0,16.91,12,95.0,1408124.0,Konditorei,63.22,,Unknown,Unknown,0
2014-08-12,Tuesday,5.0,16.91,12,95.0,1408125.0,Kuchen,334.43,,Unknown,Unknown,0
2014-08-13,Wednesday,2.0,20.94,10,,1408131.0,Brot,129.96,,Unknown,Unknown,0
2014-08-13,Wednesday,2.0,20.94,10,,1408132.0,Brötchen,677.28,,Unknown,Unknown,0
2014-08-13,Wednesday,2.0,20.94,10,,1408133.0,Croissant,333.62,,Unknown,Unknown,0
2014-08-13,Wednesday,2.0,20.94,10,,1408134.0,Konditorei,76.24,,Unknown,Unknown,0
2014-08-13,Wednesday,2.0,20.94,10,,1408135.0,Kuchen,410.8,,Unknown,Unknown,0
2014-08-14,Thursday,7.0,18.05,10,65.0,1408141.0,Brot,162.31,,Extreme Weather,Extreme Weather,0
2014-08-14,Thursday,7.0,18.05,10,65.0,1408142.0,Brötchen,678.82,,Extreme Weather,Extreme Weather,0
2014-08-14,Thursday,7.0,18.05,10,65.0,1408143.0,Croissant,339.91,,Extreme Weather,Extreme Weather,0
2014-08-14,Thursday,7.0,18.05,10,65.0,1408144.0,Konditorei,57.23,,Extreme Weather,Extreme Weather,0
2014-08-14,Thursday,7.0,18.05,10,65.0,1408145.0,Kuchen,355.67,,Extreme Weather,Extreme Weather,0
2014-08-15,Friday,6.0,18.36,8,61.0,1408151.0,Brot,232.67,,Rain,Rain,0
2014-08-15,Friday,6.0,18.36,8,61.0,1408152.0,Brötchen,693.28,,Rain,Rain,0
2014-08-15,Friday,6.0,18.36,8,61.0,1408153.0,Croissant,335.82,,Rain,Rain,0
2014-08-15,Friday,6.0,18.36,8,61.0,1408154.0,Konditorei,87.46,,Rain,Rain,0
2014-08-15,Friday,6.0,18.36,8,61.0,1408155.0,Kuchen,387.53,,Rain,Rain,0
2014-08-16,Saturday,6.0,17.2,15,61.0,1408161.0,Brot,229.32,,Rain,Rain,0
2014-08-16,Saturday,6.0,17.2,15,61.0,1408162.0,Brötchen,799.71,,Rain,Rain,0
2014-08-16,Saturday,6.0,17.2,15,61.0,1408163.0,Croissant,398.44,,Rain,Rain,0
2014-08-16,Saturday,6.0,17.2,15,61.0,1408164.0,Konditorei,72.42,,Rain,Rain,0
2014-08-16,Saturday,6.0,17.2,15,61.0,1408165.0,Kuchen,434.08,,Rain,Rain,0
2014-08-17,Sunday,7.0,15.65,13,61.0,,,,,Rain,Rain,0
2014-08-18,Monday,6.0,15.2,15,61.0,1408181.0,Brot,204.94,,Rain,Rain,0
2014-08-18,Monday,6.0,15.2,15,61.0,1408182.0,Brötchen,764.81,,Rain,Rain,0
2014-08-18,Monday,6.0,15.2,15,61.0,1408183.0,Croissant,452.01,,Rain,Rain,0
2014-08-18,Monday,6.0,15.2,15,61.0,1408184.0,Konditorei,142.15,,Rain,Rain,0
2014-08-18,Monday,6.0,15.2,15,61.0,1408185.0,Kuchen,556.68,,Rain,Rain,0
2014-08-19,Tuesday,6.0,14.09,12,61.0,1408191.0,Brot,157.52,,Rain,Rain,0
2014-08-19,Tuesday,6.0,14.09,12,61.0,1408192.0,Brötchen,628.97,,Rain,Rain,0
2014-08-19,Tuesday,6.0,14.09,12,61.0,1408193.0,Croissant,292.32,,Rain,Rain,0
2014-08-19,Tuesday,6.0,14.09,12,61.0,1408194.0,Konditorei,57.82,,Rain,Rain,0
2014-08-19,Tuesday,6.0,14.09,12,61.0,1408195.0,Kuchen,346.55,,Rain,Rain,0
2014-08-20,Wednesday,5.0,15.68,17,21.0,1408201.0,Brot,175.19,,Rain,Rain,0
2014-08-20,Wednesday,5.0,15.68,17,21.0,1408202.0,Brötchen,643.94,,Rain,Rain,0
2014-08-20,Wednesday,5.0,15.68,17,21.0,1408203.0,Croissant,266.7,,Rain,Rain,0
2014-08-20,Wednesday,5.0,15.68,17,21.0,1408204.0,Konditorei,79.28,,Rain,Rain,0
2014-08-20,Wednesday,5.0,15.68,17,21.0,1408205.0,Kuchen,357.68,,Rain,Rain,0
2014-08-21,Thursday,5.0,16.26,11,21.0,1408211.0,Brot,177.6,,Rain,Rain,0
2014-08-21,Thursday,5.0,16.26,11,21.0,1408212.0,Brötchen,619.41,,Rain,Rain,0
2014-08-21,Thursday,5.0,16.26,11,21.0,1408213.0,Croissant,328.98,,Rain,Rain,0
2014-08-21,Thursday,5.0,16.26,11,21.0,1408214.0,Konditorei,129.38,,Rain,Rain,0
2014-08-21,Thursday,5.0,16.26,11,21.0,1408215.0,Kuchen,344.59,,Rain,Rain,0
2014-08-22,Friday,7.0,16.32,12,61.0,1408221.0,Brot,196.42,,Rain,Rain,0
2014-08-22,Friday,7.0,16.32,12,61.0,1408222.0,Brötchen,648.1,,Rain,Rain,0
2014-08-22,Friday,7.0,16.32,12,61.0,1408223.0,Croissant,327.9,,Rain,Rain,0
2014-08-22,Friday,7.0,16.32,12,61.0,1408224.0,Konditorei,141.59,,Rain,Rain,0
2014-08-22,Friday,7.0,16.32,12,61.0,1408225.0,Kuchen,379.97,,Rain,Rain,0
2014-08-23,Saturday,4.0,15.99,11,21.0,1408231.0,Brot,226.63,,Rain,Rain,0
2014-08-23,Saturday,4.0,15.99,11,21.0,1408232.0,Brötchen,811.16,,Rain,Rain,0
2014-08-23,Saturday,4.0,15.99,11,21.0,1408233.0,Croissant,436.06,,Rain,Rain,0
2014-08-23,Saturday,4.0,15.99,11,21.0,1408234.0,Konditorei,83.61,,Rain,Rain,0
2014-08-23,Saturday,4.0,15.99,11,21.0,1408235.0,Kuchen,417.46,,Rain,Rain,0
2014-08-24,Sunday,3.0,16.31,20,21.0,1408241.0,Brot,151.93,,Rain,Rain,0
2014-08-24,Sunday,3.0,16.31,20,21.0,1408242.0,Brötchen,861.5,,Rain,Rain,0
2014-08-24,Sunday,3.0,16.31,20,21.0,1408243.0,Croissant,363.97,,Rain,Rain,0
2014-08-24,Sunday,3.0,16.31,20,21.0,1408244.0,Konditorei,153.57,,Rain,Rain,0
2014-08-24,Sunday,3.0,16.31,20,21.0,1408245.0,Kuchen,458.29,,Rain,Rain,0
2014-08-25,Monday,5.0,14.79,13,65.0,1408251.0,Brot,202.25,,Extreme Weather,Extreme Weather,0
2014-08-25,Monday,5.0,14.79,13,65.0,1408252.0,Brötchen,453.73,,Extreme Weather,Extreme Weather,0
2014-08-25,Monday,5.0,14.79,13,65.0,1408253.0,Croissant,253.32,,Extreme Weather,Extreme Weather,0
2014-08-25,Monday,5.0,14.79,13,65.0,1408254.0,Konditorei,86.66,,Extreme Weather,Extreme Weather,0
2014-08-25,Monday,5.0,14.79,13,65.0,1408255.0,Kuchen,261.57,,Extreme Weather,Extreme Weather,0
2014-08-26,Tuesday,3.0,17.32,7,,1408261.0,Brot,143.84,,Unknown,Unknown,0
2014-08-26,Tuesday,3.0,17.32,7,,1408262.0,Brötchen,468.65,,Unknown,Unknown,0
2014-08-26,Tuesday,3.0,17.32,7,,1408263.0,Croissant,212.35,,Unknown,Unknown,0
2014-08-26,Tuesday,3.0,17.32,7,,1408264.0,Konditorei,64.73,,Unknown,Unknown,0
2014-08-26,Tuesday,3.0,17.32,7,,1408265.0,Kuchen,297.83,,Unknown,Unknown,0
2014-08-27,Wednesday,1.0,19.88,9,,1408271.0,Brot,141.12,,Unknown,Unknown,0
2014-08-27,Wednesday,1.0,19.88,9,,1408272.0,Brötchen,552.63,,Unknown,Unknown,0
2014-08-27,Wednesday,1.0,19.88,9,,1408273.0,Croissant,203.48,,Unknown,Unknown,0
2014-08-27,Wednesday,1.0,19.88,9,,1408274.0,Konditorei,91.76,,Unknown,Unknown,0
2014-08-27,Wednesday,1.0,19.88,9,,1408275.0,Kuchen,357.73,,Unknown,Unknown,0
2014-08-28,Thursday,0.0,19.75,9,0.0,1408281.0,Brot,147.6,,Very Good,Very Good,0
2014-08-28,Thursday,0.0,19.75,9,0.0,1408282.0,Brötchen,531.72,,Very Good,Very Good,0
2014-08-28,Thursday,0.0,19.75,9,0.0,1408283.0,Croissant,251.87,,Very Good,Very Good,0
2014-08-28,Thursday,0.0,19.75,9,0.0,1408284.0,Konditorei,62.59,,Very Good,Very Good,0
2014-08-28,Thursday,0.0,19.75,9,0.0,1408285.0,Kuchen,279.81,,Very Good,Very Good,0
2014-08-29,Friday,5.0,19.12,12,63.0,1408291.0,Brot,119.0,,Rain,Rain,0
2014-08-29,Friday,5.0,19.12,12,63.0,1408292.0,Brötchen,523.7,,Rain,Rain,0
2014-08-29,Friday,5.0,19.12,12,63.0,1408293.0,Croissant,256.78,,Rain,Rain,0
2014-08-29,Friday,5.0,19.12,12,63.0,1408294.0,Konditorei,82.06,,Rain,Rain,0
2014-08-29,Friday,5.0,19.12,12,63.0,1408295.0,Kuchen,287.28,,Rain,Rain,0
2014-08-30,Saturday,7.0,17.75,9,61.0,1408301.0,Brot,162.82,,Rain,Rain,0
2014-08-30,Saturday,7.0,17.75,9,61.0,1408302.0,Brötchen,663.36,,Rain,Rain,0
2014-08-30,Saturday,7.0,17.75,9,61.0,1408303.0,Croissant,295.56,,Rain,Rain,0
2014-08-30,Saturday,7.0,17.75,9,61.0,1408304.0,Konditorei,73.69,,Rain,Rain,0
2014-08-30,Saturday,7.0,17.75,9,61.0,1408305.0,Kuchen,308.21,,Rain,Rain,0
2014-08-31,Sunday,7.0,16.38,8,21.0,1408311.0,Brot,136.99,,Rain,Rain,0
2014-08-31,Sunday,7.0,16.38,8,21.0,1408312.0,Brötchen,636.49,,Rain,Rain,0
2014-08-31,Sunday,7.0,16.38,8,21.0,1408313.0,Croissant,253.8,,Rain,Rain,0
2014-08-31,Sunday,7.0,16.38,8,21.0,1408314.0,Konditorei,173.2,,Rain,Rain,0
2014-08-31,Sunday,7.0,16.38,8,21.0,1408315.0,Kuchen,399.57,,Rain,Rain,0
2014-09-01,Monday,7.0,17.88,12,61.0,1409011.0,Brot,192.58,,Rain,Rain,0
2014-09-01,Monday,7.0,17.88,12,61.0,1409012.0,Brötchen,482.35,,Rain,Rain,0
2014-09-01,Monday,7.0,17.88,12,61.0,1409013.0,Croissant,226.54,,Rain,Rain,0
2014-09-01,Monday,7.0,17.88,12,61.0,1409015.0,Kuchen,295.52,,Rain,Rain,0
2014-09-02,Tuesday,2.0,18.38,13,,1409021.0,Brot,93.4,,Unknown,Unknown,0
2014-09-02,Tuesday,2.0,18.38,13,,1409022.0,Brötchen,458.4,,Unknown,Unknown,0
2014-09-02,Tuesday,2.0,18.38,13,,1409023.0,Croissant,240.29,,Unknown,Unknown,0
2014-09-02,Tuesday,2.0,18.38,13,,1409024.0,Konditorei,57.31,,Unknown,Unknown,0
2014-09-02,Tuesday,2.0,18.38,13,,1409025.0,Kuchen,288.61,,Unknown,Unknown,0
2014-09-03,Wednesday,2.0,18.75,13,,1409031.0,Brot,128.1,,Unknown,Unknown,0
2014-09-03,Wednesday,2.0,18.75,13,,1409032.0,Brötchen,472.1,,Unknown,Unknown,0
2014-09-03,Wednesday,2.0,18.75,13,,1409033.0,Croissant,234.74,,Unknown,Unknown,0
2014-09-03,Wednesday,2.0,18.75,13,,1409034.0,Konditorei,87.87,,Unknown,Unknown,0
2014-09-03,Wednesday,2.0,18.75,13,,1409035.0,Kuchen,318.66,,Unknown,Unknown,0
2014-09-04,Thursday,0.0,20.0,15,,1409041.0,Brot,118.73,,Unknown,Unknown,0
2014-09-04,Thursday,0.0,20.0,15,,1409042.0,Brötchen,450.13,,Unknown,Unknown,0
2014-09-04,Thursday,0.0,20.0,15,,1409043.0,Croissant,223.14,,Unknown,Unknown,0
2014-09-04,Thursday,0.0,20.0,15,,1409044.0,Konditorei,72.26,,Unknown,Unknown,0
2014-09-04,Thursday,0.0,20.0,15,,1409045.0,Kuchen,375.15,,Unknown,Unknown,0
2014-09-05,Friday,2.0,21.38,10,,1409051.0,Brot,168.8,,Unknown,Unknown,0
2014-09-05,Friday,2.0,21.38,10,,1409052.0,Brötchen,486.12,,Unknown,Unknown,0
2014-09-05,Friday,2.0,21.38,10,,1409053.0,Croissant,207.8,,Unknown,Unknown,0
2014-09-05,Friday,2.0,21.38,10,,1409054.0,Konditorei,100.04,,Unknown,Unknown,0
2014-09-05,Friday,2.0,21.38,10,,1409055.0,Kuchen,414.19,,Unknown,Unknown,0
2014-09-06,Saturday,2.0,24.0,5,,1409061.0,Brot,165.48,,Unknown,Unknown,0
2014-09-06,Saturday,2.0,24.0,5,,1409062.0,Brötchen,631.8,,Unknown,Unknown,0
2014-09-06,Saturday,2.0,24.0,5,,1409063.0,Croissant,250.55,,Unknown,Unknown,0
2014-09-06,Saturday,2.0,24.0,5,,1409064.0,Konditorei,81.55,,Unknown,Unknown,0
2014-09-06,Saturday,2.0,24.0,5,,1409065.0,Kuchen,379.48,,Unknown,Unknown,0
2014-09-07,Sunday,5.0,20.0,6,21.0,1409071.0,Brot,48.96,,Rain,Rain,0
2014-09-07,Sunday,5.0,20.0,6,21.0,1409072.0,Brötchen,611.73,,Rain,Rain,0
2014-09-07,Sunday,5.0,20.0,6,21.0,1409073.0,Croissant,268.5,,Rain,Rain,0
2014-09-07,Sunday,5.0,20.0,6,21.0,1409074.0,Konditorei,121.71,,Rain,Rain,0
2014-09-07,Sunday,5.0,20.0,6,21.0,1409075.0,Kuchen,305.32,,Rain,Rain,0
2014-09-08,Monday,4.0,17.38,12,21.0,1409081.0,Brot,177.36,,Rain,Rain,0
2014-09-08,Monday,4.0,17.38,12,21.0,1409082.0,Brötchen,362.94,,Rain,Rain,0
2014-09-08,Monday,4.0,17.38,12,21.0,1409083.0,Croissant,181.48,,Rain,Rain,0
2014-09-08,Monday,4.0,17.38,12,21.0,1409084.0,Konditorei,76.83,,Rain,Rain,0
2014-09-08,Monday,4.0,17.38,12,21.0,1409085.0,Kuchen,235.07,,Rain,Rain,0
2014-09-09,Tuesday,6.0,17.12,16,63.0,1409091.0,Brot,128.02,,Rain,Rain,0
2014-09-09,Tuesday,6.0,17.12,16,63.0,1409092.0,Brötchen,417.31,,Rain,Rain,0
